sample no_occurences quality_scores
total_map_quality.txt X1159T 18225
total_map_quality.txt X1159T 19016
total_map_quality.txt X1159T 108435302
total_map_quality.txt X1159T 28322
total_map_quality.txt X1159T 13277
total_map_quality.txt X1159T 56184
total_map_quality.txt X1172N 5296512
total_map_quality.txt X1172N 24104
total_map_quality.txt X1172N 32239
total_map_quality.txt X1172N 10841
total_map_quality.txt X1172N 22304
total_map_quality.txt X1172N 28069
total_map_quality.txt X1172N 9089
total_map_quality.txt X1172N 50748
total_map_quality.txt X1172N 14631
total_map_quality.txt X1172N 19067
total_map_quality.txt X1172N 23794
total_map_quality.txt X1172N 37619
total_map_quality.txt X1172N 6891
total_map_quality.txt X1172N 50999
total_map_quality.txt X1172N 69151
total_map_quality.txt X1172N 85199
total_map_quality.txt X1172N 80100
total_map_quality.txt X1172N 146721
total_map_quality.txt X1172N 284371
total_map_quality.txt X1172N 10343
total_map_quality.txt X1172N 885065
total_map_quality.txt X1172N 7074
total_map_quality.txt X1172N 7030
total_map_quality.txt X1172N 51725
total_map_quality.txt X1172N 17494
total_map_quality.txt X1172N 20150
total_map_quality.txt X1172N 3593
total_map_quality.txt X1172N 51584
total_map_quality.txt X1172N 7128
total_map_quality.txt X1172N 7572
total_map_quality.txt X1172N 15747
total_map_quality.txt X1172N 25869
total_map_quality.txt X1172N 6880
total_map_quality.txt X1172N 66510
total_map_quality.txt X1172N 12280
total_map_quality.txt X1172N 1072358
total_map_quality.txt X1172N 14813
total_map_quality.txt X1172N 47389
total_map_quality.txt X1172N 36661
total_map_quality.txt X1172N 33957
total_map_quality.txt X1172N 101504
total_map_quality.txt X1172N 55409
total_map_quality.txt X1172N 130925
total_map_quality.txt X1172N 173485
total_map_quality.txt X1172N 181738
total_map_quality.txt X1172N 13026
total_map_quality.txt X1172N 718850
total_map_quality.txt X1172N 43699
total_map_quality.txt X1172N 73106
total_map_quality.txt X1172N 25803
total_map_quality.txt X1172N 44409
total_map_quality.txt X1172N 93724
total_map_quality.txt X1172N 9567
total_map_quality.txt X1172N 157770
total_map_quality.txt X1172N 12230
total_map_quality.txt X1172N 20480
total_map_quality.txt X1172N 21473
total_map_quality.txt X1172N 110526708
total_map_quality.txt X1172N 29411
total_map_quality.txt X1172N 14018
total_map_quality.txt X1172N 61965
total_map_quality.txt X1172T 4947283
total_map_quality.txt X1172T 23760
total_map_quality.txt X1172T 31761
total_map_quality.txt X1172T 10172
total_map_quality.txt X1172T 21348
total_map_quality.txt X1172T 27698
total_map_quality.txt X1172T 8991
total_map_quality.txt X1172T 49738
total_map_quality.txt X1172T 14110
total_map_quality.txt X1172T 16415
total_map_quality.txt X1172T 21772
total_map_quality.txt X1172T 35331
total_map_quality.txt X1172T 6685
total_map_quality.txt X1172T 47843
total_map_quality.txt X1172T 69114
total_map_quality.txt X1172T 87202
total_map_quality.txt X1172T 81480
total_map_quality.txt X1172T 150167
total_map_quality.txt X1172T 279149
total_map_quality.txt X1172T 10299
total_map_quality.txt X1172T 852071
total_map_quality.txt X1172T 6722
total_map_quality.txt X1172T 6695
total_map_quality.txt X1172T 50053
total_map_quality.txt X1172T 17220
total_map_quality.txt X1172T 19056
total_map_quality.txt X1172T 3535
total_map_quality.txt X1172T 51189
total_map_quality.txt X1172T 7041
total_map_quality.txt X1172T 7755
total_map_quality.txt X1172T 14927
total_map_quality.txt X1172T 25672
